latitudeAirport,longitudeAirport,nameAirport,nameCountry
40.657993,17.939053,Papola Casale,Italy
4.083333,22.45,Gbadolite,Democratic Republic of the Congo
69.056114,18.54,Bardufoss,Norway
-7,29.8,Moba,Democratic Republic of the Congo
-17.3,127.46667,Bedford Downs,Australia
45.466667,-105.36667,Broadus,United States
43.11667,-124.416664,State,United States
-6.333333,146.95,Baindoung,Papua New Guinea
57.473415,-7.376028,Benbecula,United Kingdom
37.683334,-97.333336,Beech,United States
42.470833,-71.29,Hanscom Field,United States
-16.966667,122.666664,Beagle Bay,Australia
11.996944,-83.76861,Bluefields,Nicaragua
44.819443,20.306944,Belgrade Nikola Tesla,Serbia
42.127777,-86.42833,Ross Field,United States
9.391667,34.533333,Beica,Ethiopia
2.166667,117.7,Kalimaru,Indonesia
26.216667,81.23333,Bareli,India
-1.389865,-48.480003,Val De Cans,Brazil
32.085423,20.26489,Benina International,Libya
-33.033333,151.66667,Belmont,Australia
15.183333,76.9,Bellary,India
52.35,0.766667,Honington,United Kingdom
